taxa 13_FC_Irr 13_FC_Dry 12_Gr_Irr 12_Gr_Dry
2174-05 117.76 78.75 180.12 85.75
2180 131.75 69.87 187.31 94.15
ABOVE 146.25 72.04 181.04 77.58
AGATE 124.6 75.7 118.3 77
ALICE 122.52 80.94 171.83 89.01
ALLIANCE 125.06 72.65 185.69 80.08
ANTELOPE 117.54 72 160.52 90.07
ANTON 126.34 71.27 172.27 95.55
ARAPAHOE 147.52 72.95 145.66 76.42
ARLIN 144.48 71.47 211.14 79.14
AVALANCHE 111.33 80.46 175.02 93.83
BENNETT 115.1 78.93 165.52 93.28
BIG_SKY 127.91 73.49 75.25 102.14
BILL_BROWN 133.57 78.94 191.88 85.11
BOND_CL 137.08 74.6 170.21 83.96
BRONZE 111.76 64.41 86.83 84.57
BUCKSKIN 120.26 79.66 144.98 95.38
CO03W043 127.02 76.18 90.84 94.25
THUNDER_CL 131.56 67.45 139.53 88.52
CO03W054 129.2 81.06 156.77 79.23
CO04025 127.07 75.42 157.89 80.9
CO04393 136.46 77.18 168.36 79.9
CO04499 138.33 74.52 157.91 86.73
CO04W320 127.24 84.5 113.53 96.6
CO03064 122.66 81.15 160.77 90.39
CAPROCK 131.7 73.48 153.74 79.43
CARSON 132.24 77.22 145.38 88.13
CENTERFIELD 117.79 73.27 215.02 88.33
CENTURA 125.51 75.83 155.54 79.53
CENTURK78 133 70.64 156.19 95.54
CENTURY 108.69 69.79 146.88 90
CHENEY 121.65 72.35 85.84 95.59
CHEYENNE 130.73 76.18 95.85 73.34
CHISHOLM 123.26 81.42 213.99 90.39
COLT 119.14 74.7 160.6 87.97
COUGAR 135.25 76.75 134.53 97.16
CREST 120.27 69.72 130.94 89.83
CRIMSON 126.45 69.69 144.12 74.08
CULVER 125.14 75.35 127.58 92.85
CUSTER 110.21 77.49 215.77 87.11
DANBY 132.39 76.5 200.19 87.48
DARRELL 130.77 78.02 180.01 74.08
DAWN 116.55 83.88 160.17 75.65
DELIVER 139.24 79.72 126.63 110.02
DODGE 104.84 76.37 157 75.37
DUKE 115.54 74.48 153.68 95.42
DUSTER 125.76 73.21 191.19 84.1
ENDURANCE 135.78 78.18 167.69 98.64
